,Brand,Model,Processor,Ram,OS,Storage,OrginalPrice,Discount,Price,Rating
75,['Nokia'],Nokia PureBook S14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) NKi510TL85S Thin and Light Lap...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹74,990",32% off,"₹50,990",5
76,['HP'],HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1066TU Thin and Light Laptop,['Intel Core i3 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['1 TB HDD'],"₹43,090",5% off,"₹40,890",4.1
77,['HP'],HP Pavilion Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home) 15-eh1103AU Thin and Light La...,['AMD Ryzen 5 Hexa Core Processor'],['16 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹75,023",18% off,"₹60,990",4.4
78,['Lenovo'],Lenovo Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light Laptop,['Intel Core i3 Processor'],['4 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['256 GB SSD'],"₹49,096",24% off,"₹36,990",4.3
79,['Nokia'],Nokia PureBook S14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) NKi511TL85S Thin and Light Lap...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 11 Operating System'],['512 GB SSD'],"₹82,990",36% off,"₹52,790",
80,['DELL'],DELL Vostro Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,['Intel Core i3 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['1 TB HDD'],"₹54,517",24% off,"₹41,290",4
81,['acer'],acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,,['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],"['1 TB HDD', '256 GB SSD']","₹99,999",39% off,"₹60,990",4.5
82,['APPLE'],APPLE 2020 Macbook Pro M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MYDC2HN/A,['Apple M1 Processor'],['8 GB DDR4 RAM'],,['512 GB SSD'],"₹1,42,900",7% off,"₹1,31,990",4.6
83,['MSI'],MSI Bravo Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX5500M/...,['AMD Ryzen 5 Hexa Core Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹83,990",22% off,"₹64,990",4.6
84,['HP'],HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-du3517TU Thin and Light Laptop,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 11 Operating System'],['512 GB SSD'],"₹70,171",19% off,"₹56,690",4.1
85,['Lenovo'],Lenovo IdeaPad 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹88,990",35% off,"₹56,990",4.2
86,['HP'],HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14-ec0035AU Thin and Light Lap...,['AMD Ryzen 5 Hexa Core Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹67,931",19% off,"₹54,990",4.4
87,['MSI'],MSI Alpha 15 Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/AMD Radeon RX6600...,['AMD Ryzen 7 Octa Core Processor'],['16 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['1 TB SSD'],"₹1,45,990",23% off,"₹1,10,990",4.7
88,['MSI'],MSI GF63 Thin Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,['Intel Core i7 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],"['1 TB HDD', '256 GB SSD']","₹83,990",21% off,"₹65,990",4.4
